id,nKeysMin,nKeysMax,name,include,hasNumRow,hasFuncRow,numRows,colStagger,rowStagger,rotaryEncoder,wireless,onePiece,diy,prebuilt,mxCompatible,chocV1,chocV2,mxSpacing,chocSpacing,openSource,url_source,url_store,pdf_path_a4,pdf_path_letter
3w6,36,36,3w6,1,0,0,3,Aggressive,0,0,0,0,1,0,0,1,0,0,1,1,https://github.com/weteor/3W6,NA,/pdf/a4/3w6.pdf,/pdf/letter/3w6.pdf
absolem,36,36,Absolem,1,0,0,3,Aggressive,0,0,0,1,1,0,1,1,1,1,0,1,https://zealot.hu/absolem/,NA,/pdf/a4/absolem.pdf,/pdf/letter/absolem.pdf
arch36,36,36,Arch 36,1,0,0,3,Aggressive,0,0,0,0,1,0,1,0,0,1,0,1,https://github.com/obosob/arch-36-case,NA,/pdf/a4/arch36.pdf,/pdf/letter/arch36.pdf
atreus,42,42,Atreus,1,0,0,4,Aggressive,0,0,0,1,1,1,1,0,0,1,0,1,https://github.com/technomancy/atreus,https://falba.tech/customize-your-keyboard/,/pdf/a4/atreus.pdf,/pdf/letter/atreus.pdf
balbuzard,36,36,Balbuzard,1,0,0,3,Agressive,0,0,0,1,1,0,1,1,1,1,0,1,https://github.com/brow/balbuzard,NA,/pdf/a4/balbuzard.pdf,/pdf/letter/balbuzard.pdf
cantor,42,42,Cantor,1,0,0,3,Aggressive,0,0,0,0,1,0,0,1,0,0,1,1,https://github.com/diepala/cantor,https://shop.beekeeb.com,/pdf/a4/cantor.pdf,/pdf/letter/cantor.pdf
claw44,44,44,Claw44,1,0,0,3,Aggressive,0,0,0,0,1,0,1,0,0,1,0,1,https://github.com/yfuku/claw44,NA,/pdf/a4/claw44.pdf,/pdf/letter/claw44.pdf
corne,36,42,Corne,1,0,0,3,Moderate,0,0,0,0,1,0,1,1,1,1,0,1,https://github.com/foostan/crkbd,NA,/pdf/a4/corne.pdf,/pdf/letter/corne.pdf
corneish_zen,36,42,Corne-ish Zen,1,0,0,3,Moderate,0,0,1,0,1,0,0,1,0,0,1,1,https://www.thingiverse.com/thing:4698210,https://lowprokb.ca/products/corne-ish-zen-2,/pdf/a4/corneish_zen.pdf,/pdf/letter/corneish_zen.pdf
darknight,60,60,Darknight,1,1,0,5,None,0,0,0,0,1,0,1,1,1,1,0,1,https://github.com/macroxue/keyboard-diy,NA,/pdf/a4/darknight.pdf,/pdf/letter/darknight.pdf
