id,nKeysMin,nKeysMax,name,include,hasNumRow,hasFuncRow,colStagger,rotaryEncoder,wireless,onePiece,diy,prebuilt,url_source,url_store
absolem,36,36,Absolem,1,0,,Aggressive,0,0,1,1,0,https://zealot.hu/absolem/,NA
arch36,36,36,Arch 36,1,0,,Aggressive,0,0,0,1,0,https://github.com/obosob/arch-36-case,NA
atreus,42,42,Atreus,1,0,,Aggressive,0,0,1,1,1,https://github.com/technomancy/atreus,https://falba.tech/customize-your-keyboard/
claw44,44,44,Claw44,1,0,,Aggressive,0,0,0,1,0,https://github.com/yfuku/claw44,NA
corne,42,42,Corne,1,0,,Moderate,0,0,0,1,0,https://github.com/foostan/crkbd,NA
dygma_raise,68,68,Dygma Raise,1,1,,None,0,0,0,0,1,NA,https://www.dygma.com/
elephant42,42,42,Elephant 42,1,0,,Aggressive,0,0,0,1,0,https://github.com/illness072/elephant42,NA
ergodash1,66,68,Ergodash 1,1,1,,Moderate,0,0,0,1,0,https://github.com/omkbd/ErgoDash,https://falba.tech/customize-your-keyboard/
ergodash2,68,70,Ergodash 2,1,1,,Moderate,0,0,0,1,0,https://github.com/omkbd/ErgoDash,https://falba.tech/customize-your-keyboard/
ergodox,76,80,Ergodox,1,1,,Moderate,0,0,0,1,1,https://github.com/Ergodox-io/ErgoDox,https://ergodox-ez.com/
ergotravel,53,54,Ergotravel,1,0,,Moderate,0,0,0,1,0,https://github.com/jpconstantineau/ErgoTravel,NA
ferris,34,34,Ferris,1,0,,Aggressive,0,0,0,1,0,https://github.com/pierrechevalier83/ferris/,NA
georgi,30,30,Georgi,1,0,,Moderate,0,0,0,1,1,NA,https://www.gboards.ca/
gergo,46,50,Gergo,1,0,,Moderate,0,0,0,1,1,NA,https://www.gboards.ca/
gergoplex,36,36,Gergoplex,1,0,,Moderate,0,0,0,1,1,NA,https://www.gboards.ca/
ginny,10,10,Ginny,1,0,0,Moderate,0,0,0,1,0,NA,https://www.gboards.ca/
interphase,66,66,Interphase,1,1,,Aggressive,0,1,0,1,0,https://github.com/Durburz/interphase,NA
iris,54,56,Iris,1,1,,Moderate,1,0,0,1,0,https://github.com/keebio/iris-case,https://keeb.io/products/iris-keyboard-split-ergonomic-keyboard
keyboardio_model01,64,64,Keyboardio Model01,1,1,,Aggressive,0,0,0,0,1,https://github.com/keyboardio,https://shop.keyboard.io/products/model-01-keyboard
keyseebee,44,44,Keyseebee,1,0,,Aggressive,0,0,0,1,0,https://github.com/TeXitoi/keyseebee,NA
kyria,46,50,Kyria,1,0,,Aggressive,1,0,0,1,1,https://github.com/splitkb/kyria,https://splitkb.com/
lily58,58,58,Lily58,1,1,,Moderate,0,0,0,1,0,https://github.com/kata0510/Lily58,NA
